SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	METHODS	MUTATIONS	SAMPLES	%_SAMPLES_COHORT	QVALUE_COMBINATION	ROLE	DOMAINS	2D_CLUSTERS	3D_CLUSTERS	EXCESS_MIS	EXCESS_NON	EXCESS_SPL	IS_DRIVER	TOTAL_SAMPLES
H3C2	ENST00000621411	HARTWIG_WGS_BLCA_2023	BLCA	combination	6	6.0	0.0416666666666666	0.0249449730527941	Act				0.9317818927201416	0.0	0.0	True	144
H3C2	ENST00000621411	TCGA_WXS_BLCA	BLCA	dndscv	13	13.0	0.0316301703163017	0.0049478408243092	Act				0.913713656537169	0.0	0.0	True	411
H3C2	ENST00000621411	TCGA_WXS_BRCA	BRCA	dndscv	16	14.0	0.0138751238850346	0.0341291472125331	LoF				0.9348969117348842	0.9679546539519504	0.0	True	1009
H3C2	ENST00000621411	CBIOP_WXS_DLBC_BROAD_2012	DLBCLNOS	combination	5	5.0	0.0862068965517241	0.0061128805132302	Act				0.9851705801820596	0.0	0.0	True	58
H3C2	ENST00000621411	ICGC_WXS_ESCA_ESCA_CN_2019	ESCA	combination	4	3.0	0.0142180094786729	0.0174390333435078	Act				0.969149222796416	0.0	0.0	True	211
H4C9	ENST00000615353	ICGC_WGS_CLLSLL_CLLE_ES_2019	CLLSLL	combination	2	2.0	0.0392156862745098	0.0024356098331676	Act				0.997441200380458	0.0	0.0	True	51
